  Lines                  Copies               Function name
     4872 (0.2%, 73.8%)     28 (0.0%, 35.8%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::UnaryExpression<Op,In,Out>>::deserialize::__Visitor<Op,In,Out> as serde::de::Visitor>::visit_seq
     4844 (0.2%, 73.9%)    405 (0.6%, 36.4%)  <serde_cbor::de::UnitVariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed
     4764 (0.1%, 74.1%)    272 (0.4%, 36.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
     4068 (0.1%, 74.2%)    143 (0.2%, 37.0%)  alloc::vec::Vec<T,A>::extend_trusted
     3968 (0.1%, 74.3%)    360 (0.5%, 37.5%)  serde::de::Visitor::visit_seq
     3936 (0.1%, 74.5%)     76 (0.1%, 37.7%)  serde_cbor::de::Deserializer<R>::parse_enum::{{closure}}
     3640 (0.1%, 74.6%)     14 (0.0%, 37.7%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::ReturnStatement<E>>::deserialize::__Visitor<E> as serde::de::Visitor>::visit_map
     3640 (0.1%, 74.7%)     14 (0.0%, 37.7%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::AssemblyBlockStatement<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
     3542 (0.1%, 74.8%)     14 (0.0%, 37.7%)  <zokrates_ast::zir::uint::_::<impl serde::de::Deserialize for zokrates_ast::zir::uint::UMetadata<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
     3538 (0.1%, 74.9%)    146 (0.2%, 37.9%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     3494 (0.1%, 75.0%)     72 (0.1%, 38.1%)  <serde_cbor::de::VariantAccess<T> as serde::de::EnumAccess>::variant_seed
     3493 (0.1%, 75.1%)      1 (0.0%, 38.1%)  sha2::sha512::soft::sha512_digest_block_u64
     3427 (0.1%, 75.2%)     22 (0.0%, 38.1%)  rlp::rlpin::BasicDecoder::decode_value
     3423 (0.1%, 75.3%)     28 (0.0%, 38.1%)  <zokrates_ast::zir::uint::_::<impl serde::de::Deserialize for zokrates_ast::zir::uint::UExpressionInner<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_enum
     3417 (0.1%, 75.4%)    264 (0.4%, 38.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     3255 (0.1%, 75.5%)     28 (0.0%, 38.6%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::BooleanExpression<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_enum
     3255 (0.1%, 75.6%)     28 (0.0%, 38.6%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::FieldElementExpression<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_enum
     3240 (0.1%, 75.7%)   1620 (2.5%, 41.1%)  serde::de::VariantAccess::newtype_variant
     3190 (0.1%, 75.8%)     29 (0.0%, 41.1%)  zokrates_ast::zir::result_folder::fold_binary_expression
     3102 (0.1%, 75.9%)     76 (0.1%, 41.2%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     3044 (0.1%, 76.0%)      2 (0.0%, 41.3%)  regex_syntax::ast::parse::ParserI<P>::parse_with_comments
     2959 (0.1%, 76.1%)    212 (0.3%, 41.6%)  alloc::raw_vec::RawVec<T,A>::grow_one
     2928 (0.1%, 76.2%)    149 (0.2%, 41.8%)  alloc::vec::Vec<T,A>::push
     2842 (0.1%, 76.3%)      2 (0.0%, 41.8%)  blake2::blake2b::VarBlake2b::compress
     2840 (0.1%, 76.4%)      1 (0.0%, 41.8%)  <zokrates_analysis::zir_propagation::ZirPropagator<T> as zokrates_ast::zir::result_folder::ResultFolder<T>>::fold_uint_expression_cases
     2831 (0.1%, 76.5%)      3 (0.0%, 41.8%)  aho_corasick::automaton::try_find_fwd
     2784 (0.1%, 76.6%)    696 (1.1%, 42.9%)  serde_cbor::de::Deserializer<R>::parse_array
     2773 (0.1%, 76.7%)      4 (0.0%, 42.9%)  <zokrates_ast::common::error::_::<impl serde::de::Deserialize for zokrates_ast::common::error::RuntimeError>::deserialize::__Visitor as serde::de::Visitor>::visit_enum
     2716 (0.1%, 76.7%)     14 (0.0%, 42.9%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::IfElseStatement<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_seq
     2688 (0.1%, 76.8%)     14 (0.0%, 42.9%)  <zokrates_ast::common::statements::_::<impl serde::de::Deserialize for zokrates_ast::common::statements::AssemblyConstraint<E>>::deserialize::__Visitor<E> as serde::de::Visitor>::visit_seq
     2686 (0.1%, 76.9%)      1 (0.0%, 42.9%)  regex::re_bytes::Regex::find_at
     2686 (0.1%, 77.0%)      1 (0.0%, 42.9%)  regex::re_unicode::Regex::find_at
     2624 (0.1%, 77.1%)    187 (0.3%, 43.2%)  core::option::Option<T>::is_some
     2592 (0.1%, 77.2%)      7 (0.0%, 43.2%)  <ark_ff::fields::models::Fp256<P> as ark_ff::fields::Field>::square_in_place
     2556 (0.1%, 77.2%)    311 (0.5%, 43.7%)  <&T as core::fmt::Debug>::fmt
     2532 (0.1%, 77.3%)      1 (0.0%, 43.7%)  <zokrates_analysis::zir_propagation::ZirPropagator<T> as zokrates_ast::zir::result_folder::ResultFolder<T>>::fold_field_expression_cases
